ID,Session,ID_title,Date_x,Time,Online_x,Age,DG_DataRows,DG_Coins_Kept,DG_Coins_Given,DG_RT,DOB,Online_Test_Group,OS,UG_DataRows,UG_Accept,UG_Offer_Accept,UG_Coins_Given,UG_Coins_Kept,UG_Decision_RT,UG_RT,UG_Attempts,DG_UG_Diff,DG_UG_RT_Diff,Score,UG_Total_RT,it_P6,lr_P6,eg_P6,w_P6,st_P6,repst_P6,it,lr,eg,w_lo,w_hi,st,repst,w_diff,tot_delay,tot_delay_perc,twodelays,fourdelays,sixdelays,tot_hiconf,tot_loconf,perc_hiconf_delay,perc_loconf_delay,hi_lo_conf_del_diff,AvgRT,RT_STD,AvgRT_3SD,AvgdelayRT,AvgdelayRT_3SD,AvgimmRT,AvgimmRT_3SD,imm_del_RT_Diff,imm_del_RT_3SD_Diff,Avg_hiconfRT,Avg_hiconfRT_3SD,Avg_loconfRT,Avg_loconfRT_3SD,hi_lo_conf_RT_Diff,hi_lo_conf_RT_3SD_Diff,avg_del_prob,avg_indiff,total_randb,randtype,auc_prob,auc_indiff,auc_indiff_all,auc_tot_val,corr_r_pob,corr_int_pob,corr_r_indiff_all,corr_int_indiff_all,corr_r_tot_val,corr_int_tot_val,Exp_delay_trials,Exp_delay_avg_rating,Exp_delay_unique_ratings,Exp_delay_auc,Exp_reward_trials,Exp_reward_avg_rating,Exp_reward_unique_ratings,Exp_reward_auc,corr_r_exp_delay,corr_int_exp_delay,corr_rsq_exp_delay,corr_r_exp_reward,corr_int_exp_reward,corr_rsq_exp_reward,School,Training_Start,Training_End,Gender,Group,Online_y,Date_y,Age_Frac,Age_YrsMths,Train_ID,TrainingWeeks,TotalSessions,TotalBonusGames,PercentageBonusDone,Training_Version,Group_Name,Train_Coef,SES,ComboEdu,ComboEmploy,Age_YM,Raw_Vocab,T_Vocab,Raw_Matrix,T_Matrix,T_ScoreSum,FSIQ-2,Perc_Rank,Age_Frac_Imp,corsi_max_wm_t,totalsessions,trainingslope,PBI_t,cf_switchrt_t,cogflex_t,REzssrtnr_t,REflankerswitch_t,REflankerinh_t,stroop_t,dprimeONEBACK_t,dprimeTWOBACK_t,english_scores,maths_scores,total_scores,time
4,1,4,11/07/2019,13:35,0,12,6,4,2,2.011666667,,,WindowsLaptop,7,Yes,1,2,4,,2.779857143,,0,0.768190476,greedy,,1.682977546,0.89251716,0.575891066,0.813526923,0.020954893,-0.384510538,1.639262395,0.911616168,0.596412924,0.684714026,0.77086744,0.040114149,-0.395541776,0.086153414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trevor Roberts School,16/05/2019,02/07/2019,F,1,0,05/07/2019,12.05277778,"12,0",12,6,11,1,9.090909091,2,Experimental,-10.06874666,2,2,2,12,36,59,21,56,115,113,82,11.838889,6,11,-10.068747,0.021285813,170.20258,0.054429129,-0.82912445,0.71670264,0.18590266,-0.33702955,0.72619045,0.88095242,113,108,110.5,-31
4,2,4,28/11/2020,22:53,1,,,4,2,4.43091,,1,MacIntel,,No,0,,,0.35592,,1,,,,0.35592,,,,,,,,,,,,,,,18,100,6,6,6,9,9,100,100,0,1.764394167,1.519244962,1.764394167,1.764394167,1.764394167,,,,,2.211669444,2.211669444,1.317118889,1.317118889,-0.894550556,-0.894550556,1,0.75,0,1,5,3.75,3.75,5,0,1,0,0.75,0,1,6,7.635373264,6,3.841349826,4,6.810362413,4,2.104359809,-0.655099206,4.928220486,0.93597893,1.387259115,-5.12593316,0.9040015,Trevor Roberts School,16/05/2019,02/07/2019,F,1,0,28/11/2020,13.45,"13,5",12,6,11,1,9.090909091,2,Experimental,-10.06874666,2,2,2,13.05,,,21,54,,,,11.838889,6,11,-10.068747,0.046680517,35.352905,-0.31116191,0.26627335,,,,,,,,,
5,0,5,23/04/2019,11:34,0,7,6,5,1,2.2625,,,WindowsLaptop,7,No,0,3,3,,1.665142857,,2,-0.597357143,strat_inc,,0.880334336,0.75515442,0.530449478,0.770191549,-0.589862289,-0.083493656,0.846292329,0.747177994,0.55626188,0.596198059,0.728795531,-0.601975512,-0.080823713,0.132597472,10,55.55555556,4,4,2,6,4,66.66666667,44.44444444,-22.22222222,2701.277778,2266.55945,2701.277778,3134.2,3134.2,2160.125,2160.125,974.075,974.075,2020.666667,2020.666667,3381.888889,3381.888889,1361.222222,1361.222222,0.555555556,0.55,1,2,3,,2.8625,4,-0.095238095,0.888888889,-0.058571429,0.755,-0.092857143,1.088888889,6,7.858333333,6,3.977,4,7.4225,4,2.3205,-0.938,6.141333333,0.940010969,1.1315,-3.235,0.870595465,Trevor Roberts School,16/05/2019,02/07/2019,M,2,0,23/04/2019,7.611111111,"7,7",18,8,21,0,0,2,Control,-12.12877727,1,1,1,7.07,27,66,14,55,121,118,90,7.6111112,,21,-12.128778,-0.43376431,123.82861,-1.0933236,,0.52575868,-0.14000142,-0.20542419,0.60714287,-0.023809522,106,120,113,-349
5,1,5,11/07/2019,15:58,0,7,6,4,2,2.836,,,WindowsLaptop,7,Yes,1,3,3,,2.916285714,,1,0.080285714,strat_inc,,0.409825854,0.499237962,0.51139577,0.629592973,-0.672821601,-0.27613709,0.403019202,0.483973061,0.511124934,0.549945241,0.588954005,-0.670571474,-0.280684086,0.039008764,16,88.88888889,6,5,5,8,8,88.88888889,88.88888889,0,998.8333333,574.9311212,895.7058824,977,858.6666667,1173.5,1173.5,-196.5,-314.8333333,776.7777778,776.7777778,1220.888889,1029.5,444.1111111,252.7222222,0.888888889,0.725,1,2,4.5,,3.6125,4.833333333,0.038095238,0.755555556,2.98E-18,0.725,0.021428571,0.883333333,6,7.565,5,3.934,4,6.26,4,1.899,1.273428571,-1.892,0.770875508,-0.616,4.34,0.972864322,Trevor Roberts School,16/05/2019,02/07/2019,M,2,0,11/07/2019,7.827777778,"7,9",18,8,21,0,0,2,Control,-12.12877727,1,1,1,7.09,28,66,19,64,130,126,96,7.6111112,4,21,-12.128778,,75.84613,-0.2653816,,-0.5729717,-0.74660373,-0.44831339,0.58333331,0.083333336,107,106,106.5,-31
5,2,5,15/11/2020,14:11,1,,,3,3,4.499775,,1,Linux x86_64,,Yes,1,,,3.179655,,1,,,,3.179655,,,,,,,,,,,,,,,17,94.44444444,6,6,5,9,8,100,88.88888889,-11.11111111,2.181360278,0.745157277,2.181360278,2.222694412,2.222694412,1.47868,1.47868,0.744014412,0.744014412,2.240274444,2.240274444,2.122446111,2.122446111,-0.117828333,-0.117828333,0.944444444,0.729166667,0,1,4.833333333,3.6875,3.6875,4.958333333,-0.047619048,1.111111111,-0.017857143,0.791666667,-0.011904762,1.027777778,6,9.14469719,6,4.539314111,4,4.951128364,4,1.439550281,-0.314619019,5.245863755,0.621014871,1.394537806,-7.021560669,0.935497723,Trevor Roberts School,16/05/2019,02/07/2019,M,2,0,15/11/2020,9.172222222,"9,2",18,8,21,0,0,2,Control,-12.12877727,1,1,1,9.02,,,14,46,,,,7.6111112,,21,-12.128778,0.035599425,135.44666,0.059367787,-0.57297522,,,,,,,,,
6,0,6,23/04/2019,14:23,0,7,6,4,2,3.701666667,,,WindowsLaptop,7,No,0,3,3,,2.204571429,,1,-1.497095238,strat_inc,,,,,,,,,,,,,,,,5,27.77777778,2,1,2,3,2,33.33333333,22.22222222,-11.11111111,2556,2631.354538,2033.235294,4976.8,3360.25,1624.923077,1624.923077,3351.876923,1735.326923,2213.777778,2213.777778,2898.222222,1830.125,684.4444444,-383.6527778,0.277777778,0.35,1,2,1.333333333,,1.8,2.291666667,-0.180952381,0.911111111,-0.057142857,0.55,-0.147619048,0.988888889,6,8.456666667,4,4.3485,4,8.7625,4,2.6515,-1.097714286,7.298666667,0.731232624,0.4465,1.53,0.884231944,Trevor Roberts School,16/05/2019,02/07/2019,F,2,0,23/04/2019,7.894444444,"7,10",20,8,24,15,62.5,2,Control,-11.14073729,1.5,2,1,7.1,32,75,22,73,148,142,99.7,7.8944445,6,24,-11.140738,-0.58765268,709.54443,0.92178661,1.6728982,0.50067818,0.24425755,0.81360644,0.88690472,0.53571427,,,,
6,1,6,08/07/2019,13:45,0,8,6,4,2,1.584333333,,,WindowsLaptop,7,No,0,3,3,,2.283857143,,1,0.69952381,strat_inc,,,,,,,,,,,,,,,,4,22.22222222,1,2,1,2,2,22.22222222,22.22222222,0,1343.388889,1388.269602,1343.388889,2509.25,2509.25,1010.285714,1010.285714,1498.964286,1498.964286,1267.888889,1267.888889,1418.888889,1418.888889,151,151,0.222222222,0.34375,2,2,1.166666667,,1.765625,2.458333333,-0.095238095,0.555555556,-0.042857143,0.49375,-0.107142857,0.861111111,6,4.813333333,6,2.528,4,3.565,4,1.094,1.224,-4.470666667,0.735043764,-0.224,-0.315,0.78467433,Trevor Roberts School,16/05/2019,02/07/2019,F,2,0,08/07/2019,8.102777778,"8,1",20,8,24,15,62.5,2,Control,-11.14073729,1.5,2,1,8.01,33,75,17,58,133,129,97,7.8944445,5,24,-11.140738,-0.84807199,516.33154,0.77514076,-1.6293871,0.52011287,-0.95406294,-0.30971128,0.81547618,0.23809525,138,116,127,-31
6,2,6,06/12/2020,11:16,1,,,3,3,7.323925,,1,MacIntel,,No,0,,,3.681445,,1,,,,3.681445,,,,,,,,,,,,,,,6,33.33333333,2,2,2,4,2,44.44444444,22.22222222,-22.22222222,1.653471667,1.354185113,1.653471667,2.657869167,2.657869167,1.151272917,1.151272917,1.50659625,1.50659625,1.431117222,1.431117222,1.875826111,1.875826111,0.444708889,0.444708889,0.333333333,0.416666667,0,1,1.5,2,2,2.375,-0.228571429,1.133333333,-0.114285714,0.816666667,-0.171428571,1.1,6,6.635807292,6,3.333508185,4,8.991015625,4,2.697922247,-1.461882441,6.752395834,0.982297376,0.295420387,2.51391369,0.902108252,Trevor Roberts School,16/05/2019,02/07/2019,F,2,0,06/12/2020,9.513888889,"9,6",20,8,24,15,62.5,2,Control,-11.14073729,1.5,2,1,9.06,,,18,54,,,,7.8944445,7,24,-11.140738,0.037554808,216.5614,0.35964051,-0.32245657,,,,,,,,,
7,0,7,23/04/2019,15:55,0,7,6,3,3,9.088,,,WindowsLaptop,7,Yes,1,3,3,,4.196,,0,-4.892,fair,,,,,,,,,,,,,,,,5,27.77777778,2,1,2,4,1,44.44444444,11.11111111,-33.33333333,3836.333333,2442.395473,3396.058824,4720.2,3070,3496.384615,3496.384615,1223.815385,-426.3846154,3283.222222,3283.222222,4389.444444,3523,1106.222222,239.7777778,0.277777778,0.28125,2,2,1.333333333,,1.421875,2.541666667,-0.123809524,0.711111111,0.003571429,0.26875,-0.083333333,0.805555556,6,6.825,6,3.121,4,10,1,3,-0.820285714,4.696,0.187585201,0,5,1,Trevor Roberts School,16/05/2019,02/07/2019,F,2,0,23/04/2019,7.019444444,"7,0",17,8,20,4,20,2,Control,-0.397881039,3,3,3,7,13,40,12,53,93,94,34,7.0194445,4,20,-0.39788103,0.70947462,,0.36943519,,-0.62271506,0.5371905,0.42941868,0.81547618,0.55952382,114,83,98.5,-349
7,1,7,10/07/2019,15:46,0,7,6,3,3,3.766666667,,,WindowsLaptop,7,Yes,1,3,3,,3.562857143,,0,-0.203809524,fair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trevor Roberts School,16/05/2019,02/07/2019,F,2,0,10/07/2019,7.233333333,"7,2",17,8,20,4,20,2,Control,-0.397881039,3,3,3,7.02,15,44,12,53,97,97,45,7.0194445,4,20,-0.39788103,-0.3914558,310.19995,-0.39697766,-1.5442529,0.89707637,0.001226872,-0.11854339,0.85119045,0.44047618,107,111,109,-31
7,2,7,24/11/2020,19:18,1,,,3,3,4.558335,,1,MacIntel,,Yes,1,,,10.62612,,2,,,,16.4527,,,,,,,,,,,,,,,8,44.44444444,2,3,3,5,3,55.55555556,33.33333333,-22.22222222,4.599348611,2.928129166,4.599348611,4.501084375,4.501084375,4.67796,4.67796,-0.176875625,-0.176875625,3.145509444,3.145509444,6.053187778,6.053187778,2.907678333,2.907678333,0.444444444,0.458333333,3,2,2,,2.1875,3.125,-0.114285714,0.844444444,-0.047619048,0.625,-0.038095238,0.8,6,3.476065176,6,1.587871636,4,9.747043186,3,2.899803331,-2.018706597,5.541538266,0.904690724,-0.052563477,5.009860569,0.075829907,Trevor Roberts School,16/05/2019,02/07/2019,F,2,0,24/11/2020,8.605555556,"8,7",17,8,20,4,20,2,Control,-0.397881039,3,3,3,8.07,,,16,54,,,,7.0194445,5,20,-0.39788103,-0.77335727,179.04749,-0.40495655,0.38939041,,,,,,,,,
8,0,8,25/04/2019,,,,,,,,,,,,,,,,,,,,,,,0.651550591,0.764536677,0.577140994,0.582382692,0.588800097,0.396508511,0.652177875,0.783162883,0.582774516,0.524378991,0.552532853,0.589635925,0.395178605,0.028153862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trevor Roberts School,16/05/2019,02/07/2019,M,1,0,25/04/2019,6.747222222,"6,8",2,8,21,7,33.33333333,2,Experimental,-4.924068256,1.5,2,1,6.08,,,15,61,,,,6.7472224,4,21,-4.9240685,-0.61493778,,,-1.489266,,,1.0833558,0.88690472,0.5,120,132,126,-349
8,1,8,09/07/2019,17:32,0,6,6,6,0,4.077166667,,,WindowsLaptop,7,Yes,1,3,3,,3.895571429,,3,-0.181595238,strat_inc,,0.563162541,0.299826753,0.378695025,0.430494498,0.247020863,0.520969038,0.58646716,0.32404978,0.429895676,0.613518854,0.332382463,0.24857688,0.507887406,-0.281136391,0,0,0,0,0,0,0,0,0,0,1461.833333,597.8324819,1341.058824,,,1461.833333,1341.058824,,,1305.666667,1305.666667,1618,1380.875,312.3333333,75.20833333,0,0.25,0,1,0,1.25,1.25,1.25,0,0,0,0.25,0,0.25,6,6.666666667,2,3.5,4,0,1,0,-2.285714286,9.666666667,0.685714286,0,-5,1,Trevor Roberts School,16/05/2019,02/07/2019,M,1,0,09/07/2019,6.952777778,"6,11",2,8,21,7,33.33333333,2,Experimental,-4.924068256,1.5,2,1,6.11,30,78,7,45,123,120,92,6.7472224,5,21,-4.9240685,-0.23740724,187.6889,-0.43639031,-0.91425878,1.0664139,-0.12376183,1.2831836,0.77380955,0.29761904,115,131,123,-31
8,2,8,02/02/2021,15:56,1,,,3,3,3.858315,07-Feb,1,Linux x86_64,,No,0,,,2.11182,,1,,,,2.11182,,,,,,,,,,,,,,,16,88.88888889,5,6,5,7,9,77.77777778,100,22.22222222,1.400727778,0.796695335,1.400727778,1.3953975,1.3953975,1.44337,1.44337,-0.0479725,-0.0479725,1.514610556,1.514610556,1.286845,1.286845,-0.227765556,-0.227765556,0.888888889,0.725,1,2,4.333333333,,3.6,4.666666667,-0.019047619,0.955555556,0.001428571,0.72,-0.019047619,1.011111111,6,6.67398413,6,3.350357254,4,5.020422339,4,1.502104402,-1.458534082,6.778853416,0.982386043,1.577033639,-7.864745855,0.982734931,Trevor Roberts School,16/05/2019,02/07/2019,M,1,0,02/02/2021,8.516666667,"8,6",2,8,21,7,33.33333333,2,Experimental,-4.924068256,1.5,2,1,8.06,,,20,64,,,,6.7472224,6,21,-4.9240685,-0.42092362,-19.447388,-0.66671276,0.050939795,,,,,,,,,
