ID,Session,Score_raw,Score
82,3,31,5.166666667
88,4,31,5.166666667
33,4,30,5
28,5,32,5.333333333
38,5,32,5.333333333
67,5,31,5.166666667
21,6,31,5.166666667
69,6,29,4.833333333
71,6,32,5.333333333
57,6,30,5
115,7,31,5.166666667
4,7,31,5.166666667
60,7,32,5.333333333
26,2,30,5
40,2,31,5.166666667
96,2,28,4.666666667
118,2,32,5.333333333
110,2,31,5.166666667
23,3,31,5.166666667
42,3,29,4.833333333
76,3,32,5.333333333
63,3,29,4.833333333
75,3,31,5.166666667
91,3,31,5.166666667
20,4,30,5
4,5,31,5.166666667
16,5,29,4.833333333
70,8,30,5
81,2,27,4.5
23,2,30,5
85,3,27,4.5
1,3,29,4.833333333
23,4,30,5
36,4,27,4.5
91,4,30,5
36,5,27,4.5
8,5,28,4.666666667
36,6,27,4.5
28,6,32,5.333333333
73,6,29,4.833333333
21,7,29,4.833333333
23,7,29,4.833333333
109,7,29,4.833333333
43,2,32,5.333333333
12,2,30,5
67,2,28,4.666666667
10,3,31,5.166666667
45,3,26,4.333333333
2,3,30,5
67,3,29,4.833333333
75,4,31,5.166666667
68,4,29,4.833333333
23,5,29,4.833333333
26,5,29,4.833333333
41,5,27,4.5
10,6,29,4.833333333
52,7,26,4.333333333
70,7,30,5
8,7,28,4.666666667
74,8,30,5
60,8,29,4.833333333
17,2,27,4.5
68,2,28,4.666666667
43,3,31,5.166666667
5,3,29,4.833333333
41,3,27,4.5
12,3,28,4.666666667
26,4,28,4.666666667
93,4,25,4.166666667
10,5,29,4.833333333
23,6,29,4.833333333
35,6,28,4.666666667
102,7,27,4.5
41,7,26,4.333333333
10,7,27,4.5
83,8,26,4.333333333
55,3,25,4.166666667
9,4,27,4.5
5,4,29,4.833333333
1,4,26,4.333333333
8,6,27,4.5
41,6,26,4.333333333
16,7,26,4.333333333
92,2,28,4.666666667
83,2,26,4.333333333
13,2,26,4.333333333
69,2,28,4.666666667
11,3,26,4.333333333
83,3,24,4
93,3,23,3.833333333
29,3,24,4
10,4,28,4.666666667
55,5,26,4.333333333
1,5,24,4
16,6,25,4.166666667
26,7,26,4.333333333
71,7,24,4
44,7,23,3.833333333
75,8,26,4.333333333
2,2,27,4.5
66,2,26,4.333333333
62,3,26,4.333333333
7,3,24,4
60,4,26,4.333333333
2,5,26,4.333333333
34,5,24,4
26,6,26,4.333333333
42,6,25,4.166666667
1,6,24,4
107,7,27,4.5
110,7,25,4.166666667
1,7,22,3.666666667
81,8,27,4.5
34,2,23,3.833333333
116,2,22,3.666666667
34,3,24,4
3,4,24,4
2,4,26,4.333333333
5,5,26,4.333333333
40,5,26,4.333333333
60,6,25,4.166666667
55,6,24,4
82,8,29,4.833333333
46,2,27,4.5
25,3,26,4.333333333
62,4,26,4.333333333
9,5,22,3.666666667
45,5,25,4.166666667
44,6,23,3.833333333
116,7,24,4
55,8,23,3.833333333
93,8,20,3.333333333
11,2,24,4
50,3,25,4.166666667
68,3,23,3.833333333
55,7,22,3.666666667
91,8,25,4.166666667
87,2,21,3.5
82,2,21,3.5
66,5,21,3.5
5,6,24,4
62,6,22,3.666666667
42,7,21,3.5
44,8,19,3.166666667
65,2,22,3.666666667
31,4,22,3.666666667
13,5,19,3.166666667
31,6,21,3.5
5,7,23,3.833333333
94,8,20,3.333333333
46,3,20,3.333333333
13,3,18,3
17,3,20,3.333333333
62,7,21,3.5
40,3,20,3.333333333
12,4,20,3.333333333
13,4,18,3
27,4,21,3.5
39,5,20,3.333333333
25,6,19,3.166666667
2,6,20,3.333333333
40,7,18,3
69,7,19,3.166666667
62,8,19,3.166666667
27,2,19,3.166666667
25,5,17,2.833333333
12,5,18,3
17,6,19,3.166666667
117,7,23,3.833333333
13,7,14,2.333333333
27,3,17,2.833333333
28,3,18,3
25,4,18,3
28,4,17,2.833333333
29,4,14,2.333333333
31,5,18,3
17,5,18,3
27,6,18,3
12,6,17,2.833333333
29,6,15,2.5
11,7,16,2.666666667
101,7,17,2.833333333
40,8,20,3.333333333
80,8,16,2.666666667
17,4,18,3
50,6,14,2.333333333
13,6,12,2
9,6,16,2.666666667
17,7,17,2.833333333
29,7,16,2.666666667
66,8,16,2.666666667
85,8,15,2.5
29,5,14,2.333333333
25,7,18,3
12,7,16,2.666666667
87,8,16,2.666666667
39,4,14,2.333333333
46,5,16,2.666666667
43,5,16,2.666666667
27,5,14,2.333333333
46,6,16,2.666666667
68,6,17,2.833333333
50,7,16,2.666666667
27,7,17,2.833333333
40,6,15,2.5
43,6,15,2.5
105,7,12,2
43,8,14,2.333333333
69,8,13,2.166666667
50,8,12,2
